Quality	#1 ID	#2 ID	#1 String	#2 String
1	16974	9324	After an hour in these conditions, it's so extreme that, when I go down, almost every dive I vomit into my regulator because my body can't deal with the stress of the cold on my head.	Sau một giờ ở trong những điều kiện như thế này, quá khắc nghiệt nên khi tôi lặn xuống gần như mọi lần lặn tôi đều nôn vào người điều điều chỉnh của tôi, bởi cơ thể tôi không chịu đựng được những cái lạnh đè nén lên đầu tôi.
1	13256	4727	They face charges of robbery and criminal impersonation of a police officer.	Cả năm nghi phạm đều bị buộc tội cướp tài sản và mạo danh hình sự của một sĩ quan cảnh sát.
1	883	5721	And that's why we have to really talk about this a lot -- evangelize, I will go so far as to say, quite a lot -- in order to get people's attention, and make people realize that they are in a trance in this regard.	Vì vậy chúng ta phải thực sự bàn về nó nhiều -- giống như là truyền giáo vậy -- để mọi nười chú ý, và để họ nhận thức họ đang trong cơn mê.
1	5701	10167	That would give smokers the right to take complaints to the Human Rights Commission or Human Rights Review Tribunal.	Ông đồng ý rằng hút thuốc về mặt lý thuyết có thể được coi là khuyết tật, cho phép người hút thuốc có quyền khiếu nại lên Ủy ban Nhân quyền hoặc Tòa án Đánh giá Nhân quyền.
1	15130	3945	We call it the Section 34 fiasco, the Section 34 fiasco, a suspicious piece of law, and I'm going to say it like it is, a suspicious piece of law was passed at a suspicious time to free some suspects. (Laughter) And it was called, those people are called the Piarco Airport accused.	Chúng ta gọi đó là thảm họa Phần 34, thảm họa Phần 34 một điều mập mờ,  và tôi sẽ nói sự thật về vấn đề này, một định luật mập mờ được thông qua vào một thời điểm mập mờ để thả tự do cho những kẻ bị tình nghi. (Cười) Và đó là, hãng hàng không Piarco bị buộc tội.
0	12939	2109	All the garbage that everybody is disgusted by is not theirs.	Không chỉ cho New York, mà cho cả thế giới.
1	13264	10897	It's almost as if they (Russians) hit an x-mark on the ground," NASA spokesman Robert Navias said.	Họ (người Nga) gần như thể đã chạm một dấu x trên mặt đất.
1	1823	9128	That's not an option being considered too strongly.	Đó không phải là một  sự lựa chọn lớn.
0	16312	5960	I'd like to share with you, for just two minutes only, some images, a cross-section of my work, to the beautiful music by Brandi Carlile, "Have You Ever."	Anh ấy cờ bạc, vì thế nên không thể đi làm được và đổ hết mọi sự phẫn nộ lên đầu cô
0	9522	12811	Cohen recessed the hearing until this afternoon and said he expected to issue his findings next week.	Sau một ngày làm chứng, Cohen bắt đầu phiên điều trần cho đến chiều nay.
0	13523	9012	The first time I entered Manshiyat Naser, it felt like a maze.	Vào thế kỉ 19, dân di cư và các bộ máy chính trị thành phố đã giúp duy trì văn hóa bầu cử này.
1	1678	12944	And they could use those for practice balls.	Chúng rất có ích để luyện tập.
0	13659	7917	A second victim, Michael Walker, 23, was struck in the torso, the bullet perforating his lung.	Nạn nhân khác, Michael Walker, ở 550 phố Barbey, bị đánh vào cổ.
1	1838	5828	So that these don't just exist as one entity, we kind of chemically engineer them.	Để chúng ko chỉ tồn tại như thực thể duy nhất, chúng ta cần thiết kế nó về phương diện hóa học.
0	10427	2110	And all these species and income.	Các bức điêu khắc của tôi thường được giản tiện tối đa.
1	12045	2204	This institution is government-backed and it has been the case for the past three decades.	Tổ chức này được chính phủ hậu thuẫn và đã như thế được ba thập kỉ nay
1	11887	7162	You can see, with independence, literacy improved and vaccinations started, smallpox was eradicated, hygiene was improved, and things got better.	Như bạn thấy, từ khi độc lập, trình độ học vấn được cải thiện và tiêm phòng dịch được bắt đầu, bệnh đậu mùa được chữa trị tận gốc, vệ sinh được cải thiện, và mọi thứ đều trở nên tốt đẹp hơn.
1	10370	16893	Johnsons site is www.katyjohnson .com. Maxs is www.tuckermax.com.	Trang web của cô Johnson là www.katyjohnson .com. Ông Max là www.tuckermax.com.
1	3287	12902	And it's not because people were happy or people were not frustrated.	Điều đó không phải bởi vì người dân sống hạnh phúc hay là họ không cảm thấy thất vọng.
1	1699	5001	The merged company will keep the Interwoven name and be headquartered in Sunnyvale.	Công ty mới sẽ được đặt tên là Interwoven và sẽ có trụ sở tại Sunnyvale.
0	16286	8303	It was an educational campaign.	Nó sẽ được ra mắt lần đầu tiên hôm nay.
0	1350	12183	One study at an American university found that 61 percent of college freshmen had damaged hearing as a result of headphone abuse.	Mọi câu chuyện hấp dẫn tôi, và một số ám ảnh tôi cho đến khi tôi phải đặt bút viết chúng.
1	283	11155	So this is that story.	Vì thế đây chính là câu chuyện đó
0	7035	1374	(Music) And a thousand years later, this impulse to notate took an entirely different form.	Tôi đã lớn lên trong âm thanh của chiến tranh-- tiếng súng ngắt quãng tiếng bùm giần giật của những vụ nổ, tiếng o o đầy đe doa của trực thăng lượn lờ trên đầu và tiếng cảnh báo rền rĩ của còi báo động.
1	16655	18203	The shares represent more than half the 115.9 million shares Turner held at the end of April, according to Bloomberg data.	Việc bán ra chiếm khoảng 52% trong số 115,9 triệu cổ phiếu mà ông Turner nắm giữ vào cuối tháng Tư.
0	3506	17746	The difference between a languishing nation and one that will flourish is the recognition that we need equal access to education for both boys and girls.	Nó là dữ liệu của chính phủ, một trang hoàn toàn độc lập, Tiền của tôi đã đi đâu, (Where Does My Money Go)
1	6011	16190	AAA spokesman Jerry Cheske said prices may have affected some plans, but cheap hotel deals mitigated the effect.	Người phát ngôn của AAA, Jerry Cheske cho biết giá có thể đã ảnh hưởng đến một số kế hoạch, nhưng các giao dịch khách sạn giá rẻ đã bù đắp cho nó.
1	225	11112	What policy prescriptions have happened that actually cause changes to occur and that have been accepted in a bipartisan way?	Những chính sách nào được đề ra đã thực sự tạo ra những sự thay đổi và điều đó được chấp nhận theo cách của cả 2 đảng?
1	5589	6420	Federal regulators have turned from sour to sweet on a proposed $2.8 billion merger of ice cream giants Nestle Holdings Inc. and Dreyer's Grand Ice Cream Inc.	Các cơ quan quản lý liên bang đã thay đổi quyết định về đề xuất sáp nhập 2,8 tỷ đô la của các công ty kem lớn là Nestle Holdings và Dreyer's Grand Ice Cream.
0	18246	18677	They even require each teacher to observe and give feedback to their colleagues.	Và căn bản là phản ứng thường tương tự như thế này. (Cười) BR: Vâng đó là đầu bếp chính của chúng tôi, Chris Jones. Đây không phải là người duy nhất khó chịu khi chúng tôi đưa ra một nhiệm vụ kỳ quặc, nhưng phần lớn các ý tưởng này thực sự khá khó hiểu.
1	13332	12307	The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.	Đài Loan đã báo cáo 65 trường hợp mới vào ngày 22 tháng 5, đạt kỷ lục trong một ngày và 55 trường hợp mới vào ngày 23 tháng 5, làm cho dịch bệnh ở đó phát triển nhanh nhất thế giới.
1	12231	18985	And what about the web?	Thế còn website thì sao?
0	6431	17755	All the leopard seal was doing -- it's just biting a balloon.	và Leibiniz là người đầu tiên nói đến việc chế tạo một cỗ máy như thế.
1	13560	12853	"The timing of [the miniseries] is absolutely staggering to me," Nancy Reagan said in a statement to Fox News Channel last week.	Nancy Reagan đã đưa ra một tuyên bố vào tuần trước cho Fox News Channel rằng: "Thời gian của [miniseries] là hoàn toàn đáng kinh ngạc đối với tôi.
0	9628	16590	We've driven from San Francisco to Los Angeles on Highway 1.	Tôi có thể đoán được các bạn đang nghĩ gì.
0	7212	17980	I first met him through the Archon X PRIZE for Genomics.	Tôi nghĩ về những thành phố mới như Dubai hoặc những thành phố cổ kính như Rome với viện bảo tàng MAXXI phi thường của Zaha Hadid hay ngay đây tại New York với công viên High Line, thành phố đã bị ảnh hưởng rất nhiều bởi sự phát triển của nó.
0	18763	5460	So it works. But not only that, if you think about how natural selection works, then it turns out that natural selection would only make sense in such a relational universe.	Một số khác gửi từ đảng chiến thắng.
0	1821	12535	They didn't know all that much about it, but they gave me the opportunity to discover it together with them.	Tuy nhiên, mặc dù mọi việc đều tiến triển tốt đẹp với John, anh ta đang phải vật lộn với nghiện ngập và trầm cảm dai dẳng.
0	15133	18505	"After you." "Oh, no, no. After you."	Và tôi nghĩ kiến trúc chính là sự khác biệt.
1	2300	3492	There are different ways in which we must use it -- for residential, for nature, for agriculture purposes.	Có những phương pháp khác nhau để chúng ta sử dụng nó -- để ở, cho thiên nhiên, và cho mục đích nông nghiệp.
1	15488	1961	I think we'd all be pretty comfortable with this guy doing it.	Tôi nghĩ tất cả chúng ta đều khá yên tâm khi người này làm việc đó.
1	10436	18190	This is the kidney transplant I was never supposed to have.	Đây là cấy ghép thận mà tôi đã không bao giờ được phép có.
1	16042	1467	Financial terms of the deal, expected to close this month, were not released.	Điều khoản tài chính của việc bán, dự kiến ​​sẽ hoàn thành vào cuối tháng 8, không được tiết lộ.
1	13865	15863	But even before I peel that muscle away, you saw that there was a tumor underneath.	Nhưng thậm chí trước khi tôi tách các cơ đi, bạn đã thấy có một khối u bên dưới.
1	16819	3328	It's not climate, largely, which has got rid of the world's megafaunas.	không phải là khí hậu, phần lớn, đã tống khứ hệ động vật lớn của thế giới.
0	17416	7171	Mapendo, in Swahili, means great love.	Và nếu bạn thấy Texas -- bạn biết đó, Texas và California nằm dưới Canada, và Nam Carolina nằm trên Bắc Carolina, đó là ngôi nhà mà tôi đã lớn lên,thấy không?
0	6941	19458	In advance, I asked that once my body finally shut down from the punishments of my cancer, then my family and friends publish this prepared message I wrote -- the first part of the process of turning this from an active website to an archive."	Ngoài ra, nhựa đường cũng gây ra nhiều tiếng ồn.
0	3515	2498	So let me give you an intuitive example.	Nhưng chúng ta không cần phải đi theo con đường này.
1	11574	9249	We flew the area. We imaged it. We sent in people. We took pictures of interiors, disaster areas. We helped with the first responders, the search and rescue.	Chúng tôi bay trên khu vực, chụp ảnh nó, gửi người tới đó, chụp ảnh vùng bên trong, vùng bị thảm họa. Chúng tôi trợ giúp với đội phản ứng đầu tiên, tìm kiếm và cứu hộ.
1	9625	12273	This piece here is read very differently depending on where you place it.	Ở đây phần này được đọc rất khác nhau phụ thuộc vào nơi mà bạn đặt nó.
0	11897	3642	They're kept in bare cells like this for 23 hours a day.	Đây là một trong những bài ưa thích của Thomas tên là "Điều bạn làm với cái bạn có"
1	12086	3601	Even when the exchange detected violations, it often failed to take disciplinary action, the SEC said.	Ngay cả khi trao đổi phát hiện những vi phạm như vậy, nó "thường không thực hiện các hành động kỷ luật thích hợp" đối với các cá nhân hoặc công ty.
1	5363	16231	You know, if you haven't got an argument that's that strong, then just don't waste my time, is what I say.	Nếu bạn không có một quan điểm mạnh như thế, thì dừng làm mất thời gian của tôi.
1	782	13371	SEA 05D is the Naval Sea Systems Command’s technical authority for surface ship design and engineering.	Nhóm thiết kế tàu mặt nước và khái niệm tương lai là cơ quan kỹ thuật của Bộ chỉ huy hệ thống biển Naval cho tất cả các thiết kế và kỹ thuật tàu mặt nước.
1	6003	10952	But for years I've been sitting up and I think that, like, my creativity is greatly motivated by this kind of insomnia.	Nhưng trong rất nhiều năm, tôi đã ngồi dậy và nghĩ rằng, sự sáng tạo của tôi được thúc đẩy mạnh mẽ bởi chứng mất ngủ
0	10193	14762	I'm telling you where I need your help.	(vỗ tay) Bởi vì chúng ta có thứ gọi là sự riêng tư và nếu bạn thật nghĩ rằng mình không có gì để giấu làm ơn nói trước với tôi vì khi đó tôi biết rằng không nên tin tưởng tiết lộ với bạn bất kỳ bí mật nào vì rõ ràng là  bạn không thể giữ bí mật
1	12736	17410	Because people used to sew and they needed a pin cushion.	Vì trước đây mọi người hay khâu vá và họ cần 1 cái gối cắm kim.
0	17412	11308	We're trying to be part of this global village, but at the same time we're revising ourselves through our cultural institutions and cultural development.	Mong rằng không ai ngừng lại để mua món hồ đào hiệu Stuckey dở tệ này nhé.
1	8973	16809	In Virginia, Mr. Kilgore, a Republican, accused the court of undermining "Virginia's right to pass legislation that reflects the views and values of our citizens."	Tổng chưởng lý Virginia, Jerry Kilgore, cáo buộc Tòa án tối cao phá hoại "quyền của Virginia để thông qua luật pháp phản ánh quan điểm và giá trị của công dân chúng tôi".
1	14588	467	And when I first came across it in the early '90s, I thought my predecessor, Malcolm Dyson and Bob Wright, had really taken leave of their senses, and I’ll explain to you why this was the case.	Vào đầu thập kỷ 90, khi lần đầu tiên gặp ý tưởng đó, tôi nghĩ tiền bối của tôi, Malcolm Dyson và Bob Wright đã bỏ qua xúc giác của mình, và tôi sẽ giải thích với bạn điều đó có gì liên quan.
0	15330	15144	And they're not like the harbor seals that you have here.	Bây giờ, cô lập xã hội là nguy cơ cho sức khoẻ cộng đồng trong thời đại chúng ta
0	16616	15314	And you see all the world moves over to a two child family, and a life with 60 to 70 years.	Và dữ liệu rất rõ ràng.
1	8321	1727	(Laughter) (Applause) I think I never drink as much tea as I did in Egypt.	(tiếng cười) (vỗ tay) Tôi chưa bao giờ uống nhiều trà như lúc ở Ai Cập.
0	5488	503	And perhaps its tremendous intellectual perfection and serenity meant that something new had to happen -- a radical new move, which in 1600 is what did happen.	Và trong vòng 10, 15 năm gần đây, điều này rất đặc biệt với tôi, bởi vì phân tử này hóa ra là một  trong những công cụ có tính cách mạng nhất trong khoa học vi sinh, và nó cho phép chúng ta có cái nhìn rõ hơn vào bên trong chính chúng ta.
1	3107	10420	I saw in Rwanda total brutality.	Tôi chứng kiến Rwanda trong đau thương tuyệt đối.
1	1048	9354	It's up around 55 to 60 degrees centigrade.	lên tới 55 đến 60 độ C
0	18940	15790	And I don't know if I'm going to be boasting now, but in 2006 alone, we won three international awards.	Tôi đã liên tục cố khích lệ các thiếu nữ trẻ.
0	18268	19350	Shares of GE were slipping 17 cents, or 0.6%, to $28.02 in Instinet premarket trading.	Cổ phiếu của GE đã giảm 7 cent xuống còn 28,12 đô la khi đóng cửa giao dịch tại New York.
0	4650	2103	The sun is a very important cue in the sky for them.	Và như chúng ta có thể thấy rất rõ ràng, nó là một sự hỗn loạn về màu sắc.
0	14521	14958	And so after admitting I couldn't see to HR, they sent me off to an eye specialist.	Và nếu câu trả lời thu được từ các phép tính trùng khớp với giá trị của các con số đó đã được định trước qua các thỉ nghiệm tỉ mỉ, chính xác, trong nhiều trường hợp đó có thể là giải thích cơ sở về cấu trúc của vũ trụ.
0	8494	5308	And in the 12th century, a line was drawn, like a musical horizon line, to better pinpoint the pitch's location.	Ừ thì bạn có thể chạy, nhưng không thể trốn được.
1	12639	14930	After all, China isn't racing anyoneso there's no great rush," Clark said.	Rốt cuộc, Trung Quốc không trong cuộc đua với bất kì nước nào, vì vậy, không có sự vội vã nào cả ,'' Clack nói.
0	15829	11761	I've spent my life working on sustainability.	Họ có vấn đề trong việc liên hệ với người khác.
0	6639	18090	He has access to antiretroviral drugs.	Nó trông như đã chết.
1	4479	16251	People could now hear music all the time, even though it wasn't necessary for them to play an instrument, read music or even go to concerts.	Người ta bây giờ có thể nghe âm nhạc mọi lúc, thậm chí họ không cần thiết phải biết chơi một nhạc cụ, đọc nốt nhạc hay thậm chi đến xem các buổi hòa nhạc.
1	10369	6335	With the advent of the Industrial Revolution with modernization of agriculture in the last few decades, since the 1960s, food availability, per head, in this world, has increased by 25 percent.	Với sự kiện Cách mạng Công nghiệp hóa, cùng với sự cơ giới hóa nông nghiệp trong một vài thế kỷ trước đây, kể từ những năm 1960 sản lượng lương thực trên đầu người của thế giới, đã tăng 25%.
0	13144	12467	Yet, of course, like all music, it's essentially not about anything.	Sự can thiệp của chúng ta càng đưỡ xác định rõ ràng càng tốt.
1	7445	612	And even though I had absolutely no idea what I was going to do, in that uncertainty came a sense of freedom.	và thậm chí ngay cả khi tôi chẳng mảy may biết được mình sẽ làm gì, trong cơn do dự đó một cảm giác về tự do ập đến.
1	16272	1178	And what I'm going to do is share with you my ignorance on this subject.	Và đó là những gì mà tôi muốn chia sẻ với các bạn sự ngu ngốc của tôi trong chủ đề này.
1	48	6943	(Laughter) I'm going to use a device from a company called Mobisante.	(Cười) Tôi sẽ sử dụng thiết bị từ một công ty có tên gọi Mobisante.
0	3244	7366	And then we started planting -- only 1,000 trees a day.	Bồ Đào Nha dùng 45% năng lượng tái tạo, Đan Mạch 36%.
0	10073	16048	If you look at rainfall, it was already up 20 percent at that time.	Và các nông dân có thể bảo vệ mùa màng họ muốn bán cho Whole Foods vì các photon là 100% hữu cơ. Chúng hoàn toàn tự nhiên.
1	9421	12227	And even in his voice, he goes, "That's a bloody big seal, ya."	Thậm chí trong giọng nói, anh ấy nói "Đó là một con sư tử biển lớn đầy máu, kìa"
0	3280	9835	The scientists wanted to pick the minds of the Buddhist scholars about how best to use technology such as brain imaging to study consciousness.	Không ngạc nhiên mấy, các nhà khoa học muốn chọn suy nghĩ của các học giả Phật giáo về cách họ thiền định.
0	3332	14397	It was such a smooth ride.	(Cười) Ý tôi là, đây là cuộc sống.
0	3532	11991	It looks a bit like this.	Nhưng chúng tôi phải làm phần kiến trúc tốt hơn.
0	3562	660	And your body somehow knows that.	Đây là một số hình thức kinh doanh: trồng nấm, nuôi cua, trồng rau, trồng cây, hoa quả. Có một điều rất thú vị: Kem Nike và bánh quy Nike. Đây là ngôi làng được tài trợ bở Nike.
0	1611	5923	Southwest's net income amounted to $246 million, or 30 cents per share.	Với khoản tài trợ của chính phủ được thêm vào, hãng hàng không kiếm được $ 246 triệu, tương đương 30 xu một cổ phiếu.
0	7021	5317	The government identified the alleged hijackers as Francisco Lamas Carón, 29, Luis Alberto Suarez Acosta, 22, and Yosvani Martínez Acosta, 27.	Bộ cho biết những kẻ không tặc Francisco Lamas Caron, 29 tuổi; Luis Alberto Suarez Acosta, 22; và Yosvani Martinez Acosta, 27 tuổi, tự bắn mình mà không rõ lý do.
1	12911	9047	I think this is what Uncle Ibrahim meant when he said that was a project of peace and unity, because I really felt that people were coming together.	Tôi nghĩ đó là ý của Chú Ibrahim khi chú nói dự án vì hòa bình và đoàn kết, vì tôi thực sự cảm thấy sự kết nối giữa mọi người.
1	11275	10781	I'm going to do that in two steps.	Tôi sẽ làm trong 2 bước.
1	8619	4828	But maybe it just means you're more sensitive to what most people can't see or feel.	Nhưng cũng có thể, đó chỉ là do bạn nhạy cảm hơn với những gì mà người thường không thể thấy hoặc cảm nhận.
1	13984	9485	They are being held on immigration violations as the incident is investigated.	Cả hai người đàn ông đang bị giữ để điều tra vi phạm nhập cư hành chính.
1	12218	16914	But there are two in particular that fascinate me.	Nhưng có 2 thứ đặc biệt làm tôi bị mê hoặc.
1	16796	2989	The Nasdaq fell about 1.3% for the month, snapping a seven-month winning streak.	Nasdaq giảm khoảng 0,4% trong tháng, theo đường đi để đạt được mức tăng 7 tháng.
1	13400	4510	Nearly all of Ford's second-quarter profit came from Ford Credit, which earned a net $401 million, up 21.5 percent.	Gần như tất cả lợi nhuận quý hai của Ford đến từ chi nhánh tài chính Ford Credit, công ty đã kiếm được 401 triệu đô la, tăng 21,5% so với một năm trước đó.
0	4911	3618	And then we moved on into an era in the 19th century with the rise of a European nation-state where identities and allegiances were defined by ethnicity.	Và thỉnh thoảng ông trúng lớn, tại một đường đua ở Los Angeles -- -- một trong những lý do để yêu thành phố này -- vào những năm 1940.
0	8688	4125	I was visiting a cousin of mine in an old age home, and I spied a very shaky old man making his way across the room on a walker.	Đó là những gì chúng ta phải nhắm đến trong 20 - 30 năm tới.
1	17902	19247	We will open the museum in a few days, and I welcome all of you to get on Qatar Airways and come and join us.	chúng tôi sắp mở một bảo tàng và tôi mời tất cả các bạn đến sân bay Qatar và cùng tham gia với chúng tôi
0	13293	19753	And so that didn't work.	Thực tế thì quá trình xử lý xảy ra trong các phần nhỏ của bộ não tương tự như quá trình xử lý trong máy tính khi chúng truyền các dòng dữ liệu video qua internet
1	15125	9614	As a teen, he stabbed a 6-year-old boy, nearly killing him, for no apparent reason.	Anh ta cũng nói với các nhà điều tra rằng khi anh ta ở tuổi thiếu niên, anh ta đã đâm vào một cậu bé 6 tuổi mà không có lý do rõ ràng.
0	8253	14554	(Laughter) He was so happy.	Tôi xin tiếp tục thú nhận.
1	13778	2814	I then compare my information to the things I find on the Internet -- satellite images, weather data from weather stations as well as offshore buoys.	Sau đó tôi so sánh thông tin của tôi với những thứ tôi tìm trên mạng -- các hình ảnh vệ tinh, dữ liệu thời tiết từ các trạm báo thời tiết hay các trung tâm cứu hộ xa bờ.
1	8388	7361	Why else would she release these penguins at me?	Không vậy thì tại sao cô nàng thả những con chim cánh cụt này ở chỗ tôi?
0	1907	2966	(Laughter) So what I did actually is to study this problem, and I found something quite surprising.	Có sự thiếu sót về mặt ngữ pháp ở một vài chỗ.
1	621	1453	We can turn it into a dazzling array of materials, medicine, modern clothing, laptops, a whole range of different things.	Chúng ta có thể chuyển nó thành 1 mảng vật liệu bóng loáng, thuốc, quần áo, laptop hoặc rất nhiều các thứ khác.
1	6809	1648	So I use sculpture and music to make it, not just visible, but also tactile and audible.	Vì vậy tôi dùng đến các đường nét và âm nhạc để làm nó, không chỉ rõ ràng , mà còn dễ thấy và dễ nghe.
1	9419	5962	Another medical center, in Washington state, is piloting an application that allows medical images from city scanners and MRIs to be analyzed in the cloud, developing better analytics at a lower cost.	Một trung tâm y tế khác,  ở bang Washington, đang thử nghiệm một ứng dụng  cho phép những bức ảnh bệnh từ máy chụp city và MRIs được phân tích trên hệ thống đám mây, giúp đưa ra những phân tích tốt hơn và giảm thiểu chi phí.
0	13314	4929	The connection with the machine is much more easy, much more even ethically possible.	Vậy để giải quyết vấn đề năng lượng, chúng ta chỉ cần mở rộng chúng.
1	8709	14976	The companies also announced plans to collaborate on the design for future generations of memory technologies.	Hai nhóm cho biết họ sẽ hợp tác thiết kế các công nghệ bộ nhớ trong tương lai.
0	9671	14112	And we have the elves in the form of China.	Trong 1 vài năm tới, NASA sẽ khởi động 4 hoặc 5 kính viễn vọng ra khỏi sao Mộc, nơi có rất ít bụi, và bắt đầu tìm kiếm hành tinh giống Trái Đất, điều mà chúng ta không thể thấy với công nghệ hiện tại cũng như phát hiện được.
1	12988	6269	So a theory of biology based on natural selection requires a relational notion of what are the properties of biological systems.	Một thuyết sinh học dựa trên sự chọn lọc tự nhiên đòi hỏi khái niệm có tính quan hệ của những gì là tính chất của các hệ sinh thái.
0	7550	7789	You can reach her at (248) 647-7221 or send e-mail to lberman@detnews.com.	Bạn có thể liên hệ với George Hunter tại (313) 222-2027 hoặc ghunter@detnews.com.
1	14629	19741	"This legislation benefits the entire state of Illinois, every town, every city, every citizen," Blagojevich told the crowd of political heavyweights at O'Hare.	Paul Meincke
1	4075	13830	Predictions ranged from 16 cents a share to 27 cents a share, according to Thomson First Call.	Các nhà phân tích Phố Wall đã dự kiến ​​22 xu một cổ phiếu, theo Thomson First Call.
0	19601	3226	So as you send a movement command down, you tap a copy of that off and run it into your neural simulator to anticipate the sensory consequences of your actions.	Và tôi thấy nó, và nghĩ, đúng là nó rồi.
1	8072	8497	So identity was primarily defined by ethnicity, and the nation-state reflected that.	Vậy nhân dạng được định nghĩa đơn thuần bởi chủng tộc, và liên bang thể hiện điều này.
1	7360	9313	Such a move has been widely predicted by industry observers and follows the recent announcement that Christopher Galvin, the company's chairman and chief executive, would soon retire.	Một động thái như vậy đã được dự đoán rộng rãi bởi các nhà quan sát trong ngành và sau sự rời đi của Christopher Galvin, chủ tịch và giám đốc điều hành của công ty.
1	5149	8339	PeopleSoft, of Pleasanton, California, said the deal would increase its 2004 earnings, excluding amortization and other items.	Nhưng PeopleSoft cho biết thỏa thuận mới sẽ bổ sung vào thu nhập năm 2004 của mình, không bao gồm khấu hao và các khoản khác.
1	959	19255	"These are violent surgeries and I wanted to convey that," Murphy says.	Ý tôi là, đây là những ca phẫu thuật kịch liệt, và tôi muốn truyền đạt điều đó một cách đúng đắn.
0	4544	10111	Juanita is her name.	Nếu bạn từng ở đó, bạn sẽ biết tôi đang nói về cái gì.
